nom,date,national_cumulative_confirmed_deaths
DRC,2026-05-14,4
DRC,2026-05-17,4
DRC,2026-05-18,4
DRC,2026-05-19,4
DRC,2026-05-20,6
DRC,2026-05-21,9
DRC,2026-05-22,10
DRC,2026-05-23,10
DRC,2026-05-24,10
DRC,2026-05-25,12
DRC,2026-05-26,17
DRC,2026-05-27,17
DRC,2026-05-28,17
DRC,2026-05-29,42
DRC,2026-05-30,42
DRC,2026-05-31,48
DRC,2026-06-01,60
DRC,2026-06-02,62
DRC,2026-06-03,64
DRC,2026-06-04,82
DRC,2026-06-05,86
DRC,2026-06-06,91
DRC,2026-06-07,101
DRC,2026-06-08,115
DRC,2026-06-09,127
DRC,2026-06-10,136
DRC,2026-06-11,139
DRC,2026-06-13,181
DRC,2026-06-14,192
DRC,2026-06-15,196
DRC,2026-06-16,202
DRC,2026-06-17,232
DRC,2026-06-18,245
DRC,2026-06-19,247