date,exposed_median,exposed_lower,exposed_upper,infectious_median,infectious_lower,infectious_upper,dead_median,dead_lower,dead_upper,total_cumulative_median,total_cumulative_lower,total_cumulative_upper
2026-05-18,384.1117528896215,172.13769538780465,634.7820487864883,369.8294430212071,279.86255895343965,427.61558073802144,131,131,131,675.2577319589138,675.2577319567484,675.2577319601044
2026-05-19,385.99000733343087,167.5066744903383,652.8358009003401,371.39264973496165,281.3485602062995,438.0386683389239,148.0123190904672,138.97609904141564,166.78895357605833,718.996178633734,700.0209377761197,755.9161183555983
2026-05-20,387.52146111791,164.87273978109644,668.3339990986221,372.19231519876973,281.62349235921573,451.9591661879422,165.27766969996128,147.2652162055343,200.7984799344539,763.0155575312735,725.0810745245326,835.455313130775
2026-05-21,390.1781522280895,163.61123063830192,683.1261655255224,374.10340274016517,281.5751502049639,465.0608432834764,182.68746302028867,155.8099915816202,234.00288553920086,807.2995019524599,750.2531762308366,914.3429669241251
2026-05-22,392.813747260301,162.85040366282007,693.2606427984091,376.68081625412185,281.0089979775744,477.108577879072,200.38206587665718,164.50043775095813,267.08492003635075,851.9852636315497,775.8303105024685,993.085694033897
2026-05-23,395.202117728679,162.40273209523914,704.9029318043747,379.30203961121407,280.65178553271454,487.7776637785389,218.1094972636571,173.5293436196041,299.3218539504062,896.9483548897123,801.7032932013957,1072.507063480058
2026-05-24,399.01393994936257,162.57184218003198,714.9825557351211,383.0989401273812,281.0111490140072,498.41793869672296,235.9947199368142,182.7259622891518,331.78539656127026,942.4267203498821,827.5542175856109,1152.1420532161806
2026-05-25,401.98368976362974,162.81792921190052,725.0539215446767,386.8248276807334,281.61831940575445,508.8173379716305,253.83307967368756,192.05373669462472,364.3433809266931,988.1058281167614,853.148536687094,1232.3577928614716
2026-05-26,406.03483246287044,163.8443000553823,736.3719520424766,390.60831118928445,282.6912671136918,518.2677668601968,272.00262357787733,201.54358098635734,397.1109791633123,1034.312412299696,879.3781513297164,1314.629468733014
2026-05-27,409.43935948729086,164.86339413592734,746.7063270660199,394.41753311379716,283.9699330582197,527.6775465346954,290.07140367552097,211.15335265928724,429.58403357059143,1080.7762353904898,905.4265666719992,1397.788742007947
2026-05-28,413.77854582546104,165.97678856893444,758.1198174870706,398.82358669858445,285.34481636529904,537.4169937426101,308.58333041303524,220.84230533725915,463.45602852767024,1127.5835283880947,931.8487092123297,1483.3469105982372
2026-05-29,418.12380141099425,166.90574774475854,768.4042857524366,402.9690400110772,287.1118482353748,546.5259826252897,327.3388030398762,230.75855543932448,498.42455033833113,1174.836624155073,958.6753502219752,1569.1730636156556
2026-05-30,422.34401176808245,168.14828090688488,776.7107359865861,407.61714316000706,288.72004475900275,557.0562437788235,346.288388162542,240.62409166469885,533.657180592211,1222.7609651878165,985.254950833618,1658.2186158034096
2026-05-31,427.1116689610125,169.12989301273984,786.183873112541,411.86196562551567,290.45905915531534,567.5153348259529,365.5099439807993,250.26968781143142,568.4107682171069,1271.5714244761639,1011.8584400806083,1746.3577198485136
2026-06-01,431.81272744470067,170.64961584028202,798.4322679358669,416.94949197251583,292.5625759403705,578.0603850922862,384.80911770512535,260.1831428009506,604.5459811044341,1320.471156140516,1038.8306829500102,1837.9034610138985
2026-06-02,436.8070367949873,172.5125877326168,811.3331970339424,422.0152882457322,294.5023969461689,589.4967833289146,403.7548827112975,270.2060249043391,642.4124656361168,1369.9512692531803,1066.316173896053,1930.1533432986867
2026-06-03,441.3404255126029,174.858739301383,821.950185329233,426.6730043540132,296.3882510346779,600.5470315713758,423.52629435179006,280.33760561611416,680.4387267023741,1420.0792950669704,1094.0980662602285,2023.4316923052643
2026-06-04,446.16507388306115,176.38902875684758,832.7568428846394,431.84737948477556,298.59427942402783,611.9144013840674,443.53699810706485,290.24347003225995,719.1791756588048,1470.80831121117,1121.6017443961823,2122.0977499018236
2026-06-05,451.2763980824519,178.33876693719145,846.8409336088536,436.82687968942366,300.3656543836104,624.6799067638395,463.46861313287343,300.447807197678,758.5638734686834,1521.8579078230816,1149.822740740889,2218.5208434009187
2026-06-06,456.3236335756152,180.1905034119725,860.5290582631187,441.86426660234315,302.51908823965994,637.6237318769838,483.83374648124385,310.8558175705763,797.5786882452094,1573.4986976188113,1177.698826247484,2319.933077759605
2026-06-07,461.02988340867194,181.84303178961497,872.4571295054919,446.61789818944544,304.21489585081696,649.9501636979152,504.27914364646006,321.45028821978156,838.8016436669525,1625.2247052216078,1205.3796773059553,2420.5289801098297
2026-06-08,466.7979797404879,183.88301018020414,884.8631371164652,451.6221351296584,306.341683057476,662.8637044396025,524.9861281868177,331.98042487422794,880.2941627375365,1678.2149584997428,1233.2468102856326,2525.341635503616
2026-06-09,472.54885167876193,185.89356034373915,902.6474555203399,456.5260676123538,308.8358602241326,676.3346082071992,546.0513291440745,341.9534729883524,922.5849561172743,1731.59975895956,1261.8221487780688,2633.494213210621
2026-06-10,477.8476798360545,187.4937623964395,917.0220443331884,461.7132840344417,310.9103416691011,690.8839642133961,566.8322993949673,352.4082948875979,966.2681319717744,1785.744666875894,1290.614960757861,2744.5697778938056
2026-06-11,483.0892847835055,188.66055066107845,929.4391648458007,466.8104886835143,312.9986474885688,705.4874568911622,588.0333168714407,363.1883743124996,1009.6818384104579,1839.9328333978167,1319.630412555418,2857.60898258725
2026-06-12,489.4629982663696,190.43736910533707,943.2043909746587,472.0680816881562,314.99583432800523,720.3206980059211,609.5475020056401,373.4903590339355,1056.2351893449884,1894.3591609463824,1348.180319703624,2966.5548601535156
2026-06-13,495.0670206143701,192.0564626127544,958.1656920615925,477.5658465403233,316.41981573622246,735.3492705934093,631.1607311741834,384.4333133405699,1101.2063378959647,1949.4362582462577,1377.9287246446195,3077.464431164212
2026-06-14,501.20673022230835,194.30536157351492,974.1233416895745,483.0653809961034,318.3867330930406,750.8902376201072,653.4823246483312,395.3057681741074,1148.310313406413,2006.7234600100928,1407.692463052967,3196.1862138496454
2026-06-15,507.4051723630166,196.4683294724254,991.2896782841564,488.93805945658244,320.11738243307036,766.500218922172,675.8153870994784,405.71585192562435,1198.3571482059049,2063.3523191966297,1437.3965869004999,3314.205532180257
2026-06-16,513.015761410581,198.35306943679782,1007.492373486659,494.26629957207706,322.33586239225497,783.1215991503279,698.3325197158731,416.60089634808065,1247.8241689997424,2121.595527455559,1466.9647487946067,3437.380085561974
2026-06-17,519.1020545979952,200.07192641282745,1023.5724153052522,500.0701152026801,323.80409093980353,800.069723515253,720.9490940742219,427.08268433130456,1296.8774129002306,2180.8714294629435,1496.643813162779,3558.032036499127
2026-06-18,525.4617382155559,202.3524949618528,1040.1493099703482,505.55103273303916,326.18936067751616,816.7565309829835,743.8231213996687,437.72058899643065,1347.418034212277,2239.478572503671,1525.8042084820543,3681.1687852727428
2026-06-19,531.9539591775574,204.30466988729887,1056.2797360268705,510.7763888114183,327.7355121187224,833.9277945207434,767.0465319036107,448.6877406836779,1400.557800991499,2299.7015000092792,1556.6481458261512,3815.784945762745
2026-06-20,538.0981473009017,206.06814849203857,1074.3996046299224,516.3542743058853,329.8863934906182,851.8554107926791,790.1326849183286,459.3653078445173,1453.4790133746865,2359.2246222711365,1587.654750098446,3949.186630224883
2026-06-21,544.2394861979865,207.76215637424292,1093.1016314418923,522.5148446447519,332.13305436367295,868.9916483061878,813.5370635942304,470.5428207589954,1505.2267261479064,2419.738368569169,1617.5159196721809,4075.623651957792
2026-06-22,549.9270841592987,209.59058201406992,1111.0933133271005,528.2964937778424,334.23901119186564,890.414265048738,837.1273777384444,481.64646470674387,1562.408732575973,2481.6433270315556,1648.2813224444983,4216.378842159351
2026-06-23,556.5192959597161,211.41960010893615,1127.9828925155548,534.717044450581,336.54995172416415,911.1215288356674,861.0265296474013,492.4776283851537,1620.3064885453261,2543.4237217964715,1678.3787169822995,4363.501495325851
2026-06-24,562.8437579499191,213.16601818707375,1148.4947009441369,540.9695625026287,338.51662299232555,931.2616270645087,885.2025939687518,503.67756116230294,1677.6853957546616,2606.0057961027815,1709.7617453921075,4509.958374073256
2026-06-25,569.5980076852152,215.43423698830745,1167.2445865318136,547.0635576252787,340.31193228689483,953.121321068525,910.238464951226,514.5525991722313,1732.4310345852068,2671.0784797744946,1739.9574880361606,4658.978377360278
